date,code,quant,value
2005-02-21,CNY,1,15.71
2005-02-21,EUR,1,169.96
2005-02-21,GBP,1,246.47
2005-02-21,JPY,10,12.35
2005-02-21,KGS,1,3.15
2005-02-21,NOK,1,20.47
2005-02-21,RUB,1,4.66
2005-02-21,TRY,1,99.62
2005-02-21,USD,1,130.05
2005-02-21,UZS,1,0.12
2005-02-21,ZAR,1,21.91
2005-02-22,AUD,1,102.64
2005-02-22,BYN,1,0.06
2005-02-22,CAD,1,105.76
2005-02-22,CHF,1,110.09
2005-02-22,CNY,1,15.72
2005-02-22,EUR,1,170.0
2005-02-22,GBP,1,246.95
2005-02-22,JPY,10,12.33
2005-02-22,KGS,1,3.17
2005-02-22,NOK,1,20.51
2005-02-22,RUB,1,4.66
2005-02-22,TRY,1,99.42
2005-02-22,USD,1,130.09
2005-02-22,UZS,1,0.12
2005-02-22,ZAR,1,21.97
2005-02-23,AUD,1,103.19
2005-02-23,BYN,1,0.06
2005-02-23,CAD,1,106.08
2005-02-23,CHF,1,111.24
2005-02-23,CNY,1,15.72
2005-02-23,EUR,1,171.39
2005-02-23,GBP,1,247.92
2005-02-23,JPY,10,12.48
2005-02-23,KGS,1,3.17
2005-02-23,NOK,1,20.78
2005-02-23,RUB,1,4.68
2005-02-23,TRY,1,100.1
2005-02-23,USD,1,130.08
2005-02-23,UZS,1,0.12
2005-02-23,ZAR,1,22.31
2005-02-24,AUD,1,102.69
2005-02-24,BYN,1,0.06
2005-02-24,CAD,1,105.86
2005-02-24,CHF,1,111.8
2005-02-24,CNY,1,15.72
2005-02-24,EUR,1,171.89
2005-02-24,GBP,1,248.18
2005-02-24,JPY,10,12.43
2005-02-24,KGS,1,3.17
2005-02-24,NOK,1,20.83
2005-02-24,RUB,1,4.68
2005-02-24,TRY,1,99.88
2005-02-24,USD,1,130.1
2005-02-24,UZS,1,0.12
2005-02-24,ZAR,1,22.47
