date,code,name_ru,quant,value,change
2021-05-14,NOK,НОРВЕЖСКАЯ КРОНА,1,50.95,-0.64
2021-05-14,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,113.48,-0.40
2021-05-14,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,114.01,+0.38
2021-05-14,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.75,+0.01
2021-05-14,XDR,СДР,1,615.85,+1.34
2021-05-14,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,320.17,-0.60
2021-05-14,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.8,+0.12
2021-05-14,THB,ТАЙСКИЙ БАТ,1,13.62,-0.03
2021-05-14,TRY,ТУРЕЦКАЯ ЛИРА,1,50.49,-0.71
2021-05-14,UZS,УЗБЕКСКИХ СУМОВ,100,4.05,+0.01
2021-05-14,UAH,УКРАИНСКАЯ ГРИВНА,1,15.47,+0.06
2021-05-14,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,599.6,-2.75
2021-05-14,CZK,ЧЕШСКАЯ КРОНА,1,20.18,-0.07
2021-05-14,SEK,ШВЕДСКАЯ КРОНА,1,50.68,-0.48
2021-05-14,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,470.77,-0.83
2021-05-14,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,30.27,-0.15
2021-05-14,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,37.74,-0.12
2021-05-14,JPY,ЯПОНСКАЯ ЙЕНА,1,3.9,-0.02
2021-05-15,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,331.61,+2.31
2021-05-15,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,253.23,+0.69
2021-05-15,AMD,АРМЯНСКИЙ ДРАМ,10,8.21,+0.01
2021-05-15,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,169.94,+1.03
2021-05-15,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,80.77,+0.16
